prompt_id: adf28df9-644d-4ba3-ab64-b4e11125388d
status: completed
preset: -
rewrite_mode: fallback
seed: 1106847547
final_prompt: realistic female portrait for premium advertising look, cinematic lighting, realistic details, high quality, professional photography, detailed texture
output_filename: portrait_00045_.png
metadata_path: F:\ComfyUI\comfy-agent-mvp\data\outputs\sdxl_agent_run_20260419_165240.json
judge_status: reject
quality_profile: portrait_premium_v1
quality_verdict: reject
technical_score: 8
anatomy_score: 6
semantic_score: 8
aesthetic_score: 9
weighted_score: 7.6
hard_fail_reasons: semantic_collapse_conditional
soft_fail_reasons: plastic_skin
recommended_corrective_action: retry_seed
recipe_validation_passed: True
